Country,Market,RetailPrice,WholesalePrice,Date
KENYA,Eldoret,532,378,2013-03-26
KENYA,Nairobi,525,459,2013-03-26
KENYA,Mombasa,472,354,2013-03-26
KENYA,Nakuru,650,449,2013-03-26
KENYA,Kitale,614,532,2013-03-26
KENYA,Nairobi,525,459,2013-03-25
KENYA,Mombasa,472,354,2013-03-25
KENYA,Eldoret,543,401,2013-03-25
KENYA,Kitale,614,532,2013-03-25
KENYA,Eldoret,547,416,2013-03-22
KENYA,Nairobi,532,461,2013-03-22
KENYA,Kitale,630,475,2013-03-22
KENYA,Mombasa,594,475,2013-03-22
KENYA,Kitale,630,475,2013-03-21
KENYA,Mombasa,773,594,2013-03-21
KENYA,Eldoret,535,416,2013-03-21
KENYA,Kitale,630,475,2013-03-20
KENYA,Mombasa,773,594,2013-03-20
KENYA,Nakuru,654,452,2013-03-20
KENYA,Eldoret,547,416,2013-03-20
KENYA,Nakuru,654,452,2013-03-19
KENYA,Kitale,630,475,2013-03-19
KENYA,Eldoret,547,416,2013-03-19
KENYA,Mombasa,773,594,2013-03-19
KENYA,Nairobi,535,463,2013-03-19
KENYA,Eldoret,547,428,2013-03-18
KENYA,Nakuru,654,452,2013-03-18
KENYA,Nairobi,535,463,2013-03-18
KENYA,Kitale,630,475,2013-03-18
KENYA,Mombasa,594,475,2013-03-18
KENYA,Nairobi,523,453,2013-03-15
KENYA,Mombasa,580,464,2013-03-15
KENYA,Kitale,615,464,2013-03-15
KENYA,Eldoret,522,417,2013-03-14
KENYA,Mombasa,425,386,2013-03-14
KENYA,Nairobi,510,452,2013-03-14
KENYA,Kitale,615,464,2013-03-14
KENYA,Nairobi,522,452,2013-03-13
KENYA,Eldoret,522,406,2013-03-13
KENYA,Mombasa,425,386,2013-03-13
KENYA,Nakuru,638,441,2013-03-13
KENYA,Kitale,615,464,2013-03-13
KENYA,Eldoret,522,406,2013-03-12
KENYA,Nakuru,638,464,2013-03-12
KENYA,Nairobi,510,452,2013-03-12
KENYA,Kitale,615,464,2013-03-12
KENYA,Mombasa,451,367,2013-03-12
KENYA,Nakuru,638,464,2013-03-11
KENYA,Eldoret,522,406,2013-03-11
KENYA,Mombasa,464,348,2013-03-11
KENYA,Nairobi,515,451,2013-03-11
KENYA,Mombasa,464,348,2013-03-08
KENYA,Kitale,615,452,2013-03-08
KENYA,Nairobi,515,451,2013-03-08
KENYA,Nairobi,515,451,2013-03-07
KENYA,Nairobi,515,451,2013-03-06
KENYA,Kitale,615,452,2013-03-06
KENYA,Nairobi,515,451,2013-03-05
