Country,Market,RetailPrice,WholesalePrice,Date
UGANDA,Busia,346,271,2013-03-26
UGANDA,Tororo,346,288,2013-03-26
UGANDA,Kampala,385,288,2013-03-26
UGANDA,Masindi,346,288,2013-03-26
UGANDA,Kabale,423,385,2013-03-26
UGANDA,Kasese,423,385,2013-03-26
UGANDA,Mbale,346,288,2013-03-26
UGANDA,Owino,462,385,2013-03-26
UGANDA,Lira,346,250,2013-03-26
UGANDA,Kampala,385,288,2013-03-25
UGANDA,Mbale,346,250,2013-03-25
UGANDA,Lira,346,250,2013-03-25
UGANDA,Busia,346,271,2013-03-25
UGANDA,Owino,462,385,2013-03-25
UGANDA,Tororo,346,250,2013-03-25
UGANDA,Masindi,346,250,2013-03-25
UGANDA,Kabale,346,277,2013-03-25
UGANDA,Kasese,423,385,2013-03-25
UGANDA,Masindi,346,284,2013-03-22
UGANDA,Kasese,422,384,2013-03-22
UGANDA,Kabale,442,385,2013-03-22
UGANDA,Owino,384,345,2013-03-22
UGANDA,Mbale,346,288,2013-03-22
UGANDA,Busia,346,271,2013-03-22
UGANDA,Lira,346,250,2013-03-22
UGANDA,Kampala,345,288,2013-03-22
UGANDA,Tororo,346,288,2013-03-22
UGANDA,Kasese,422,384,2013-03-21
UGANDA,Kampala,345,288,2013-03-21
UGANDA,Busia,345,269,2013-03-21
UGANDA,Owino,384,345,2013-03-21
UGANDA,Kampala,345,288,2013-03-20
UGANDA,Owino,384,345,2013-03-20
UGANDA,Busia,345,269,2013-03-20
UGANDA,Kasese,384,384,2013-03-20
UGANDA,Busia,345,269,2013-03-19
UGANDA,Owino,384,345,2013-03-19
UGANDA,Tororo,345,288,2013-03-19
UGANDA,Masindi,345,284,2013-03-19
UGANDA,Kabale,441,384,2013-03-19
UGANDA,Kasese,384,384,2013-03-19
UGANDA,Kampala,345,288,2013-03-19
UGANDA,Mbale,345,288,2013-03-19
UGANDA,Lira,345,249,2013-03-19
UGANDA,Mbale,345,288,2013-03-18
UGANDA,Lira,345,261,2013-03-18
UGANDA,Busia,345,269,2013-03-18
UGANDA,Owino,384,345,2013-03-18
UGANDA,Tororo,345,288,2013-03-18
UGANDA,Masindi,345,284,2013-03-18
UGANDA,Kabale,422,384,2013-03-18
UGANDA,Kasese,384,384,2013-03-18
UGANDA,Kampala,345,288,2013-03-18
UGANDA,Mbale,344,286,2013-03-15
UGANDA,Lira,344,260,2013-03-15
UGANDA,Busia,343,267,2013-03-15
UGANDA,Tororo,325,275,2013-03-15
UGANDA,Masindi,344,275,2013-03-15
UGANDA,Kabale,420,382,2013-03-15
UGANDA,Kasese,381,381,2013-03-15
UGANDA,Kasese,419,381,2013-03-14
UGANDA,Mbale,343,286,2013-03-14
UGANDA,Lira,343,259,2013-03-14
UGANDA,Busia,343,266,2013-03-14
UGANDA,Kampala,343,278,2013-03-14
UGANDA,Tororo,324,274,2013-03-14
UGANDA,Masindi,343,274,2013-03-14
UGANDA,Kabale,381,339,2013-03-14
UGANDA,Owino,381,343,2013-03-14
UGANDA,Masindi,343,274,2013-03-13
UGANDA,Kasese,419,381,2013-03-13
UGANDA,Busia,343,263,2013-03-13
UGANDA,Owino,381,343,2013-03-13
UGANDA,Mbale,343,286,2013-03-13
UGANDA,Lira,343,259,2013-03-13
UGANDA,Kabale,381,343,2013-03-13
UGANDA,Kampala,343,278,2013-03-13
UGANDA,Tororo,324,286,2013-03-13
UGANDA,Mbale,343,286,2013-03-12
